Sample No.,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key
1339,1,0,1,0,0,1,0,0,0,1,0,0,22
1340,1,0,1,0,0,1,0,0,0,1,0,1,1
1341,1,0,1,0,0,1,0,0,0,1,0,1,15
1342,1,0,1,0,0,1,0,0,0,1,0,1,22
1343,1,0,1,0,0,1,0,0,0,1,1,0,6
1344,1,0,1,0,0,1,0,0,0,1,1,0,11
1345,1,0,1,0,0,1,0,0,0,1,1,0,15
1346,1,0,1,0,0,1,0,0,0,1,1,0,20
1347,1,0,1,0,0,1,0,0,0,1,1,0,22
1348,1,0,1,0,0,1,0,0,0,1,1,1,15
1349,1,0,1,0,0,1,0,0,1,0,0,0,18
1350,1,0,1,0,0,1,0,0,1,0,1,0,13
1351,1,0,1,0,0,1,0,0,1,0,1,0,18
1352,1,0,1,0,0,1,0,1,0,0,0,1,1
1353,1,0,1,0,0,1,0,1,0,0,1,0,1
1354,1,0,1,0,0,1,0,1,0,0,1,0,6
1355,1,0,1,0,0,1,0,1,0,0,1,0,15
1356,1,0,1,0,0,1,0,1,0,0,1,0,20
1357,1,0,1,0,0,1,0,1,0,1,0,0,1
1358,1,0,1,0,0,1,0,1,0,1,0,0,6
1359,1,0,1,0,0,1,0,1,0,1,0,0,15
1360,1,0,1,0,0,1,0,1,0,1,0,0,22
1361,1,0,1,0,0,1,0,1,0,1,0,1,1
1362,1,0,1,0,0,1,0,1,0,1,0,1,17
1363,1,0,1,0,0,1,0,1,0,1,0,1,22
1364,1,0,1,0,0,1,0,1,0,1,1,0,6
1365,1,0,1,0,0,1,0,1,0,1,1,0,15
1366,1,0,1,0,0,1,0,1,0,1,1,0,20
1367,1,0,1,0,0,1,0,1,0,1,1,1,1
1368,1,0,1,0,0,1,0,1,0,1,1,1,6
1369,1,0,1,0,0,1,0,1,1,0,0,0,13
1370,1,0,1,0,0,1,0,1,1,0,1,0,6
1371,1,0,1,0,0,1,0,1,1,0,1,0,13
1372,1,0,1,0,0,1,0,1,1,0,1,0,18
1373,1,0,1,0,0,1,0,1,1,1,1,0,6
1374,1,0,1,0,0,1,0,1,1,1,1,0,20
1375,1,0,1,0,0,1,1,0,0,1,0,0,20
1376,1,0,1,0,0,1,1,0,0,1,1,0,20
1377,1,0,1,0,0,1,1,1,0,1,1,0,20
1378,1,0,1,0,0,1,1,1,0,1,1,1,20
1379,1,0,1,0,1,0,0,0,0,0,0,0,1
1380,1,0,1,0,1,0,0,0,0,0,0,0,22
1381,1,0,1,0,1,0,0,0,0,0,0,1,8
1382,1,0,1,0,1,0,0,0,0,0,1,0,15
1383,1,0,1,0,1,0,0,0,0,1,0,0,1
1384,1,0,1,0,1,0,0,0,0,1,0,0,6
1385,1,0,1,0,1,0,0,0,0,1,0,0,8
1386,1,0,1,0,1,0,0,0,0,1,0,0,15
1387,1,0,1,0,1,0,0,0,0,1,0,0,17
1388,1,0,1,0,1,0,0,0,0,1,0,0,22
1389,1,0,1,0,1,0,0,0,0,1,0,1,1
1390,1,0,1,0,1,0,0,0,0,1,0,1,8
1391,1,0,1,0,1,0,0,0,0,1,0,1,22
1392,1,0,1,0,1,0,0,0,0,1,1,0,15
1393,1,0,1,0,1,0,0,0,1,1,0,0,6
1394,1,0,1,0,1,0,0,0,1,1,0,1,22
1395,1,0,1,0,1,0,0,1,0,0,0,0,1
1396,1,0,1,0,1,0,0,1,0,0,0,0,3
1397,1,0,1,0,1,0,0,1,0,0,0,0,8
1398,1,0,1,0,1,0,0,1,0,0,0,0,15
1399,1,0,1,0,1,0,0,1,0,0,0,0,17
1400,1,0,1,0,1,0,0,1,0,0,0,0,20
1401,1,0,1,0,1,0,0,1,0,0,0,0,22
1402,1,0,1,0,1,0,0,1,0,0,0,1,1
1403,1,0,1,0,1,0,0,1,0,0,0,1,8
1404,1,0,1,0,1,0,0,1,0,0,0,1,17
1405,1,0,1,0,1,0,0,1,0,0,0,1,22
1406,1,0,1,0,1,0,0,1,0,0,1,0,6
1407,1,0,1,0,1,0,0,1,0,0,1,0,8
1408,1,0,1,0,1,0,0,1,0,0,1,0,15
1409,1,0,1,0,1,0,0,1,0,0,1,0,20
1410,1,0,1,0,1,0,0,1,0,0,1,1,3
1411,1,0,1,0,1,0,0,1,0,0,1,1,8
1412,1,0,1,0,1,0,0,1,0,0,1,1,15
1413,1,0,1,0,1,0,0,1,0,0,1,1,17
1414,1,0,1,0,1,0,0,1,0,1,0,0,1
1415,1,0,1,0,1,0,0,1,0,1,0,0,6
1416,1,0,1,0,1,0,0,1,0,1,0,0,8
1417,1,0,1,0,1,0,0,1,0,1,0,0,15
1418,1,0,1,0,1,0,0,1,0,1,0,0,22
1419,1,0,1,0,1,0,0,1,0,1,0,1,1
1420,1,0,1,0,1,0,0,1,0,1,0,1,8
1421,1,0,1,0,1,0,0,1,0,1,0,1,17
1422,1,0,1,0,1,0,0,1,0,1,0,1,22
1423,1,0,1,0,1,0,0,1,0,1,1,0,1
1424,1,0,1,0,1,0,0,1,0,1,1,0,8
1425,1,0,1,0,1,0,0,1,0,1,1,0,15
1426,1,0,1,0,1,0,0,1,0,1,1,0,17
1427,1,0,1,0,1,0,0,1,0,1,1,1,1
1428,1,0,1,0,1,0,0,1,0,1,1,1,8
1429,1,0,1,0,1,0,0,1,0,1,1,1,17
1430,1,0,1,0,1,0,0,1,0,1,1,1,22
1431,1,0,1,0,1,0,0,1,1,0,0,1,1
1432,1,0,1,0,1,0,0,1,1,1,0,1,8
1433,1,0,1,0,1,0,0,1,1,1,0,1,22
1434,1,0,1,0,1,0,1,0,0,0,0,1,17
1435,1,0,1,0,1,0,1,0,0,0,0,1,24
1436,1,0,1,0,1,0,1,0,0,1,0,0,8
1437,1,0,1,0,1,0,1,0,0,1,0,1,8
1438,1,0,1,0,1,0,1,0,1,1,0,0,10
1439,1,0,1,0,1,0,1,1,0,0,0,0,1
1440,1,0,1,0,1,0,1,1,0,0,0,0,8
1441,1,0,1,0,1,0,1,1,0,0,0,0,17
1442,1,0,1,0,1,0,1,1,0,0,0,1,8
1443,1,0,1,0,1,0,1,1,0,0,0,1,17
1444,1,0,1,0,1,0,1,1,0,0,0,1,22
1445,1,0,1,0,1,0,1,1,0,0,1,0,20
1446,1,0,1,0,1,0,1,1,0,1,0,0,8
1447,1,0,1,0,1,0,1,1,0,1,0,0,15
1448,1,0,1,0,1,0,1,1,0,1,0,0,17
1449,1,0,1,0,1,0,1,1,0,1,0,0,22
1450,1,0,1,0,1,0,1,1,0,1,0,1,8
1451,1,0,1,0,1,0,1,1,0,1,0,1,17
1452,1,0,1,0,1,0,1,1,0,1,0,1,22
1453,1,0,1,0,1,0,1,1,0,1,1,1,17
1454,1,0,1,0,1,0,1,1,1,1,0,1,5
1455,1,0,1,0,1,0,1,1,1,1,0,1,8
1456,1,0,1,0,1,0,1,1,1,1,0,1,17
1457,1,0,1,0,1,0,1,1,1,1,0,1,22
1458,1,0,1,0,1,1,0,0,0,0,0,0,15
1459,1,0,1,0,1,1,0,0,0,0,1,0,6
1460,1,0,1,0,1,1,0,0,0,0,1,0,15
1461,1,0,1,0,1,1,0,0,0,1,0,0,1
1462,1,0,1,0,1,1,0,0,0,1,0,0,15
1463,1,0,1,0,1,1,0,0,0,1,0,0,22
1464,1,0,1,0,1,1,0,0,0,1,0,1,1
1465,1,0,1,0,1,1,0,0,0,1,0,1,22
1466,1,0,1,0,1,1,0,0,0,1,1,0,6
1467,1,0,1,0,1,1,0,0,0,1,1,0,15
1468,1,0,1,0,1,1,0,0,1,1,0,0,22
1469,1,0,1,0,1,1,0,0,1,1,0,1,1
1470,1,0,1,0,1,1,0,0,1,1,0,1,8
1471,1,0,1,0,1,1,0,0,1,1,0,1,22
1472,1,0,1,0,1,1,0,1,0,0,0,0,1
1473,1,0,1,0,1,1,0,1,0,0,0,0,6
1474,1,0,1,0,1,1,0,1,0,0,0,0,13
1475,1,0,1,0,1,1,0,1,0,0,0,0,15
1476,1,0,1,0,1,1,0,1,0,0,0,1,1
1477,1,0,1,0,1,1,0,1,0,0,0,1,8
1478,1,0,1,0,1,1,0,1,0,0,0,1,22
1479,1,0,1,0,1,1,0,1,0,0,1,0,1
1480,1,0,1,0,1,1,0,1,0,0,1,0,6
1481,1,0,1,0,1,1,0,1,0,0,1,0,15
1482,1,0,1,0,1,1,0,1,0,0,1,1,1
1483,1,0,1,0,1,1,0,1,0,1,0,0,1
1484,1,0,1,0,1,1,0,1,0,1,0,0,6
1485,1,0,1,0,1,1,0,1,0,1,0,0,15
1486,1,0,1,0,1,1,0,1,0,1,0,0,22
1487,1,0,1,0,1,1,0,1,0,1,0,1,1
1488,1,0,1,0,1,1,0,1,0,1,0,1,15
1489,1,0,1,0,1,1,0,1,0,1,0,1,17
1490,1,0,1,0,1,1,0,1,0,1,0,1,22
1491,1,0,1,0,1,1,0,1,0,1,1,0,1
1492,1,0,1,0,1,1,0,1,0,1,1,0,6
1493,1,0,1,0,1,1,0,1,0,1,1,0,15
1494,1,0,1,0,1,1,0,1,0,1,1,1,15
1495,1,0,1,0,1,1,0,1,1,1,0,0,15
1496,1,0,1,0,1,1,0,1,1,1,0,1,1
1497,1,0,1,0,1,1,0,1,1,1,0,1,8
1498,1,0,1,0,1,1,0,1,1,1,0,1,22
1499,1,0,1,0,1,1,0,1,1,1,1,0,15
1500,1,0,1,0,1,1,0,1,1,1,1,1,15
1501,1,0,1,0,1,1,1,0,0,1,0,0,8
1502,1,0,1,0,1,1,1,0,0,1,0,0,22
1503,1,0,1,0,1,1,1,1,0,1,0,0,8
1504,1,0,1,0,1,1,1,1,0,1,0,0,17
1505,1,0,1,0,1,1,1,1,0,1,0,1,17
1506,1,0,1,0,1,1,1,1,0,1,0,1,22
1507,1,0,1,0,1,1,1,1,1,1,0,0,1
1508,1,0,1,0,1,1,1,1,1,1,0,1,22
1509,1,0,1,1,0,0,0,0,0,0,1,0,18
1510,1,0,1,1,0,0,0,0,0,1,1,0,20
1511,1,0,1,1,0,0,0,0,0,1,1,1,20
1512,1,0,1,1,0,0,0,0,1,0,0,0,13
1513,1,0,1,1,0,0,0,1,0,0,0,0,13
1514,1,0,1,1,0,0,0,1,0,0,0,0,20
1515,1,0,1,1,0,0,0,1,0,0,0,1,13
1516,1,0,1,1,0,0,0,1,0,0,0,1,20
1517,1,0,1,1,0,0,0,1,0,0,1,0,13
1518,1,0,1,1,0,0,0,1,0,0,1,0,20
1519,1,0,1,1,0,0,0,1,0,0,1,1,13
1520,1,0,1,1,0,0,0,1,0,1,0,1,8
1521,1,0,1,1,0,0,0,1,0,1,1,0,13
1522,1,0,1,1,0,0,0,1,0,1,1,0,20
1523,1,0,1,1,0,0,0,1,1,0,0,0,1
1524,1,0,1,1,0,0,0,1,1,0,0,0,13
1525,1,0,1,1,0,0,0,1,1,0,0,0,18
1526,1,0,1,1,0,0,0,1,1,0,1,0,13
1527,1,0,1,1,0,0,0,1,1,0,1,0,18
1528,1,0,1,1,0,0,1,0,0,1,0,0,6
1529,1,0,1,1,0,0,1,0,0,1,0,0,20
1530,1,0,1,1,0,0,1,0,0,1,1,0,20
1531,1,0,1,1,0,0,1,1,0,0,1,0,13
1532,1,0,1,1,0,0,1,1,0,1,0,0,20
1533,1,0,1,1,0,0,1,1,0,1,1,0,20
1534,1,0,1,1,0,1,0,0,0,0,1,0,13
1535,1,0,1,1,0,1,0,0,0,0,1,0,18
1536,1,0,1,1,0,1,0,0,0,1,0,0,20
1537,1,0,1,1,0,1,0,0,0,1,1,0,20
1538,1,0,1,1,0,1,0,0,1,0,1,0,13
1539,1,0,1,1,0,1,0,0,1,0,1,0,18
1540,1,0,1,1,0,1,0,1,0,0,0,0,13
1541,1,0,1,1,0,1,0,1,0,0,0,0,20
1542,1,0,1,1,0,1,0,1,0,0,0,1,13
1543,1,0,1,1,0,1,0,1,0,0,0,1,20
1544,1,0,1,1,0,1,0,1,0,0,1,0,4
1545,1,0,1,1,0,1,0,1,0,0,1,0,13
1546,1,0,1,1,0,1,0,1,0,0,1,0,18
1547,1,0,1,1,0,1,0,1,0,0,1,0,20
1548,1,0,1,1,0,1,0,1,0,0,1,1,13
1549,1,0,1,1,0,1,0,1,0,1,0,0,11
1550,1,0,1,1,0,1,0,1,0,1,1,0,20
1551,1,0,1,1,0,1,0,1,1,0,0,0,13
1552,1,0,1,1,0,1,0,1,1,0,0,0,18
1553,1,0,1,1,0,1,0,1,1,0,0,1,4
1554,1,0,1,1,0,1,0,1,1,0,1,0,1
1555,1,0,1,1,0,1,0,1,1,0,1,0,4
1556,1,0,1,1,0,1,0,1,1,0,1,0,13
1557,1,0,1,1,0,1,0,1,1,0,1,0,18
1558,1,0,1,1,0,1,0,1,1,0,1,1,4
1559,1,0,1,1,0,1,0,1,1,0,1,1,13
1560,1,0,1,1,0,1,0,1,1,1,1,0,13
1561,1,0,1,1,0,1,0,1,1,1,1,1,13
1562,1,0,1,1,0,1,1,0,0,0,0,0,13
1563,1,0,1,1,0,1,1,0,0,0,1,0,13
1564,1,0,1,1,0,1,1,0,0,1,1,0,6
1565,1,0,1,1,0,1,1,1,0,0,0,0,13
1566,1,0,1,1,0,1,1,1,0,0,1,0,13
1567,1,0,1,1,0,1,1,1,0,1,1,0,20
1568,1,0,1,1,0,1,1,1,1,0,0,0,13
1569,1,0,1,1,0,1,1,1,1,0,1,0,4
1570,1,0,1,1,0,1,1,1,1,0,1,0,13
1571,1,0,1,1,1,0,0,0,1,0,1,0,2
1572,1,0,1,1,1,0,0,1,0,0,0,0,20
1573,1,0,1,1,1,0,0,1,0,0,0,1,13
1574,1,0,1,1,1,0,0,1,0,1,0,1,8
1575,1,0,1,1,1,0,0,1,0,1,0,1,22
1576,1,0,1,1,1,0,1,0,0,1,0,0,8
1577,1,0,1,1,1,0,1,1,0,0,0,1,17
1578,1,0,1,1,1,0,1,1,0,1,1,0,20
1579,1,0,1,1,1,0,1,1,1,1,0,0,15
1580,1,0,1,1,1,1,0,0,0,1,1,0,6
1581,1,0,1,1,1,1,0,0,1,0,0,0,16
1582,1,0,1,1,1,1,0,0,1,0,1,0,16
1583,1,0,1,1,1,1,0,1,0,0,0,0,8
1584,1,0,1,1,1,1,0,1,0,1,0,1,1
1585,1,0,1,1,1,1,0,1,1,0,0,0,18
1586,1,0,1,1,1,1,0,1,1,0,1,1,18
1587,1,0,1,1,1,1,1,0,1,0,0,1,2
1588,1,0,1,1,1,1,1,0,1,0,1,0,16
1589,1,0,1,1,1,1,1,1,0,1,1,1,20
1590,1,1,0,0,0,0,0,0,0,0,1,1,8
1591,1,1,0,0,0,0,0,0,1,0,0,0,9
1592,1,1,0,0,0,0,1,1,0,1,1,0,20
1593,1,1,0,0,0,1,0,0,0,0,1,0,18
1594,1,1,0,0,0,1,0,0,0,1,0,0,3
1595,1,1,0,0,0,1,0,0,0,1,0,0,15
1596,1,1,0,0,0,1,0,0,1,0,0,0,2
1597,1,1,0,0,0,1,0,0,1,0,0,0,6
1598,1,1,0,0,0,1,0,0,1,0,0,0,18
1599,1,1,0,0,0,1,0,0,1,0,1,0,2
1600,1,1,0,0,0,1,0,0,1,0,1,0,18
1601,1,1,0,0,0,1,0,0,1,1,1,0,18
1602,1,1,0,0,0,1,0,1,0,1,0,0,15
1603,1,1,0,0,0,1,0,1,0,1,1,0,6
1604,1,1,0,0,0,1,0,1,1,0,1,0,9
1605,1,1,0,0,0,1,0,1,1,0,1,0,18
1606,1,1,0,0,0,1,1,0,0,1,1,0,23
1607,1,1,0,0,0,1,1,0,1,0,1,0,2
1608,1,1,0,0,0,1,1,0,1,1,1,0,23
1609,1,1,0,0,1,0,0,0,1,1,0,1,5
1610,1,1,0,0,1,0,0,1,0,0,0,0,18
1611,1,1,0,0,1,0,0,1,0,1,0,0,17
1612,1,1,0,0,1,0,0,1,1,0,1,0,4
1613,1,1,0,0,1,0,1,0,1,1,0,1,10
1614,1,1,0,0,1,0,1,1,0,1,0,0,17
1615,1,1,0,0,1,0,1,1,0,1,0,1,17
1616,1,1,0,0,1,0,1,1,0,1,0,1,22
1617,1,1,0,0,1,1,0,0,0,1,0,0,15
1618,1,1,0,0,1,1,0,0,1,1,0,1,14
1619,1,1,0,0,1,1,0,1,0,1,0,0,15
1620,1,1,0,0,1,1,0,1,0,1,0,1,15
1621,1,1,0,0,1,1,0,1,1,0,1,0,4
1622,1,1,0,0,1,1,0,1,1,0,1,0,18
1623,1,1,0,0,1,1,0,1,1,0,1,1,18
1624,1,1,0,0,1,1,0,1,1,1,0,1,15
1625,1,1,0,0,1,1,0,1,1,1,1,1,18
1626,1,1,0,0,1,1,1,1,1,0,1,0,18
1627,1,1,0,1,0,0,0,0,0,0,1,0,16
1628,1,1,0,1,0,0,0,0,1,0,0,0,5
1629,1,1,0,1,0,0,0,0,1,0,0,0,21
1630,1,1,0,1,0,0,0,0,1,0,1,0,5
1631,1,1,0,1,0,0,0,0,1,0,1,0,9
1632,1,1,0,1,0,0,0,0,1,0,1,0,16
1633,1,1,0,1,0,0,0,1,0,0,0,0,9
1634,1,1,0,1,0,0,0,1,0,0,1,0,9
1635,1,1,0,1,0,0,0,1,1,0,0,0,13
1636,1,1,0,1,0,0,0,1,1,0,1,0,9
1637,1,1,0,1,0,0,1,0,0,0,1,0,2
1638,1,1,0,1,0,0,1,0,1,0,0,0,5
1639,1,1,0,1,0,0,1,0,1,0,0,0,14
1640,1,1,0,1,0,0,1,0,1,0,0,0,16
1641,1,1,0,1,0,0,1,0,1,0,1,0,16
1642,1,1,0,1,0,0,1,0,1,0,1,0,23
1643,1,1,0,1,0,0,1,0,1,1,0,0,5
1644,1,1,0,1,0,0,1,0,1,1,0,0,14
1645,1,1,0,1,0,0,1,0,1,1,1,0,16
1646,1,1,0,1,0,0,1,1,1,0,1,0,16
1647,1,1,0,1,0,1,0,0,0,1,1,0,6
1648,1,1,0,1,0,1,0,0,0,1,1,0,23
1649,1,1,0,1,0,1,0,0,1,0,0,0,2
1650,1,1,0,1,0,1,0,0,1,0,0,0,9
1651,1,1,0,1,0,1,0,0,1,0,0,0,18
1652,1,1,0,1,0,1,0,0,1,0,1,0,2
1653,1,1,0,1,0,1,0,0,1,0,1,0,9
1654,1,1,0,1,0,1,0,0,1,0,1,0,18
1655,1,1,0,1,0,1,0,0,1,0,1,0,23
1656,1,1,0,1,0,1,0,0,1,0,1,1,18
1657,1,1,0,1,0,1,0,1,0,0,0,0,9
1658,1,1,0,1,0,1,0,1,0,0,0,0,18
1659,1,1,0,1,0,1,0,1,0,0,1,0,4
1660,1,1,0,1,0,1,0,1,0,0,1,0,23
1661,1,1,0,1,0,1,0,1,1,0,0,0,18
1662,1,1,0,1,0,1,0,1,1,0,1,0,4
1663,1,1,0,1,0,1,0,1,1,0,1,0,9
1664,1,1,0,1,0,1,0,1,1,0,1,0,18
1665,1,1,0,1,0,1,0,1,1,0,1,1,4
1666,1,1,0,1,0,1,1,0,0,1,1,0,6
1667,1,1,0,1,0,1,1,0,0,1,1,0,23
1668,1,1,0,1,0,1,1,0,1,0,0,0,2
1669,1,1,0,1,0,1,1,0,1,0,1,0,2
1670,1,1,0,1,0,1,1,0,1,0,1,0,16
1671,1,1,0,1,0,1,1,0,1,0,1,0,21
1672,1,1,0,1,0,1,1,0,1,0,1,1,16
1673,1,1,0,1,0,1,1,0,1,1,1,0,23
1674,1,1,0,1,0,1,1,1,1,0,0,1,2
1675,1,1,0,1,0,1,1,1,1,0,1,0,18
1676,1,1,0,1,0,1,1,1,1,1,1,0,16
1677,1,1,0,1,0,1,1,1,1,1,1,1,2
1678,1,1,0,1,0,1,1,1,1,1,1,1,16
1679,1,1,0,1,1,0,0,0,0,1,0,0,14
1680,1,1,0,1,1,0,0,0,1,0,0,0,19
1681,1,1,0,1,1,0,0,0,1,0,0,1,14
1682,1,1,0,1,1,0,0,1,1,0,1,0,4
1683,1,1,0,1,1,0,1,0,0,1,0,1,5
1684,1,1,0,1,1,0,1,0,1,0,0,0,5
1685,1,1,0,1,1,0,1,0,1,0,0,0,14
1686,1,1,0,1,1,0,1,0,1,0,0,1,14
1687,1,1,0,1,1,0,1,0,1,1,0,0,5
1688,1,1,0,1,1,0,1,0,1,1,0,0,14
1689,1,1,0,1,1,0,1,0,1,1,0,1,14
1690,1,1,0,1,1,0,1,1,0,1,0,1,14
1691,1,1,0,1,1,0,1,1,1,0,0,1,14
1692,1,1,0,1,1,0,1,1,1,1,0,0,14
1693,1,1,0,1,1,0,1,1,1,1,0,1,14
1694,1,1,0,1,1,1,0,1,1,0,0,0,18
1695,1,1,0,1,1,1,0,1,1,0,1,0,4
1696,1,1,0,1,1,1,0,1,1,0,1,0,18
1697,1,1,0,1,1,1,0,1,1,0,1,1,18
1698,1,1,0,1,1,1,1,0,0,1,1,0,23
1699,1,1,0,1,1,1,1,0,1,0,0,0,5
1700,1,1,0,1,1,1,1,0,1,0,1,0,23
1701,1,1,0,1,1,1,1,0,1,1,0,0,14
1702,1,1,0,1,1,1,1,0,1,1,1,0,2
1703,1,1,0,1,1,1,1,0,1,1,1,0,10
1704,1,1,0,1,1,1,1,0,1,1,1,1,2
1705,1,1,0,1,1,1,1,1,1,0,0,1,14
1706,1,1,1,0,0,0,0,1,0,0,0,1,8
1707,1,1,1,0,0,0,1,0,0,1,0,0,3
1708,1,1,1,0,0,0,1,1,0,1,0,1,8
1709,1,1,1,0,0,1,0,0,0,1,0,0,15
1710,1,1,1,0,0,1,0,0,0,1,0,1,1
1711,1,1,1,0,0,1,0,1,1,1,0,0,1
1712,1,1,1,0,1,0,0,0,0,0,0,0,17
1713,1,1,1,0,1,0,0,0,0,0,1,0,15
1714,1,1,1,0,1,0,0,0,1,0,0,1,2
1715,1,1,1,0,1,0,0,1,0,0,0,1,3
1716,1,1,1,0,1,0,0,1,0,0,1,0,15
1717,1,1,1,0,1,0,0,1,0,1,0,0,17
1718,1,1,1,0,1,0,0,1,0,1,0,1,17
1719,1,1,1,0,1,0,1,0,0,0,0,1,24
1720,1,1,1,0,1,0,1,0,0,0,1,1,24
1721,1,1,1,0,1,0,1,0,0,1,0,0,8
1722,1,1,1,0,1,0,1,0,0,1,0,1,10
1723,1,1,1,0,1,0,1,0,1,0,0,1,2
1724,1,1,1,0,1,0,1,0,1,1,0,1,14
1725,1,1,1,0,1,0,1,0,1,1,0,1,19
1726,1,1,1,0,1,0,1,0,1,1,1,1,14
1727,1,1,1,0,1,0,1,1,0,0,0,1,8
1728,1,1,1,0,1,0,1,1,0,1,0,0,15
1729,1,1,1,0,1,0,1,1,0,1,0,1,17
1730,1,1,1,0,1,0,1,1,0,1,0,1,22
1731,1,1,1,0,1,0,1,1,1,1,0,0,17
1732,1,1,1,0,1,1,0,0,0,1,0,0,15
1733,1,1,1,0,1,1,0,0,0,1,1,0,15
1734,1,1,1,0,1,1,0,0,1,1,0,0,15
1735,1,1,1,0,1,1,0,1,0,1,0,0,15
1736,1,1,1,0,1,1,0,1,0,1,0,1,15
1737,1,1,1,0,1,1,0,1,0,1,1,0,15
1738,1,1,1,0,1,1,0,1,0,1,1,1,17
1739,1,1,1,0,1,1,0,1,1,1,0,0,15
1740,1,1,1,0,1,1,0,1,1,1,1,1,15
1741,1,1,1,0,1,1,1,0,0,0,0,1,17
1742,1,1,1,0,1,1,1,0,0,1,0,0,24
1743,1,1,1,0,1,1,1,1,0,1,0,0,6
1744,1,1,1,0,1,1,1,1,1,1,1,1,17
1745,1,1,1,0,1,1,1,1,1,1,1,1,20
1746,1,1,1,1,0,0,1,0,1,0,0,0,16
1747,1,1,1,1,0,1,0,0,1,0,1,1,15
1748,1,1,1,1,0,1,0,1,0,0,1,0,4
1749,1,1,1,1,0,1,0,1,1,0,1,0,4
1750,1,1,1,1,0,1,1,0,1,0,1,0,16
1751,1,1,1,1,1,0,0,0,1,0,1,1,2
1752,1,1,1,1,1,0,0,1,0,0,0,1,17
1753,1,1,1,1,1,0,1,0,1,1,0,1,10
1754,1,1,1,1,1,0,1,0,1,1,1,0,14
1755,1,1,1,1,1,1,0,0,0,0,1,0,16
1756,1,1,1,1,1,1,0,0,0,0,1,1,16
1757,1,1,1,1,1,1,0,0,1,0,0,1,16
1758,1,1,1,1,1,1,0,0,1,0,1,0,16
1759,1,1,1,1,1,1,0,0,1,0,1,1,16
1760,1,1,1,1,1,1,0,1,0,1,0,0,15
1761,1,1,1,1,1,1,0,1,1,0,1,1,18
1762,1,1,1,1,1,1,0,1,1,1,1,1,15
1763,1,1,1,1,1,1,1,0,0,0,1,0,16
1764,1,1,1,1,1,1,1,0,1,0,0,1,2
1765,1,1,1,1,1,1,1,0,1,0,1,0,2
1766,1,1,1,1,1,1,1,0,1,0,1,0,16
1767,1,1,1,1,1,1,1,1,1,0,1,1,15
1768,1,1,1,1,1,1,1,1,1,0,1,1,16
1769,1,1,1,1,1,1,1,1,1,1,0,1,15
1770,1,1,1,1,1,1,1,1,1,1,1,0,15
1771,1,1,1,1,1,1,1,1,1,1,1,1,13
1772,1,1,1,1,1,1,1,1,1,1,1,1,16
1773,1,1,1,1,1,1,1,1,1,1,1,1,19
